,title,mp3_url,midi_url,metadata
2642,"
	 Sumatuz euskaldunak         
	",https://bdb.bertsozale.eus/common/file/get/33448,https://bdb.bertsozale.eus/common/file/get/25774,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '13']"
2643,"
	 Ta gu gera ta gu gera         
	",https://bdb.bertsozale.eus/common/file/get/31695,https://bdb.bertsozale.eus/common/file/get/26965,"['Sei puntuko berdina, 8 silabaz', 'ABDABD', '8/8/8/8/8']"
2644,"
	 Tabuak min direnean         
	",https://bdb.bertsozale.eus/common/file/get/71100,https://bdb.bertsozale.eus/common/file/get/71098,"['Hamaseiko berdina, 8 puntuz eta 8 silabaz (hg) / Zortzi puntuko berdina, 16 silabaz (ip)', 'Hutsik', 'Hutsik']"
2645,,,,[]
2646,"
	 Terraza honetara         
	",https://bdb.bertsozale.eus/common/file/get/32670,https://bdb.bertsozale.eus/common/file/get/20656,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BD', '13']"
2647,"
	 Terroristen auhenak         
	",https://bdb.bertsozale.eus/common/file/get/33486,https://bdb.bertsozale.eus/common/file/get/25777,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDB', '6/7']"
2648,"
	 Terzio euskaldunak         / Aita arren semeai      
	",https://bdb.bertsozale.eus/common/file/get/32707,https://bdb.bertsozale.eus/common/file/get/20659,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '7/6']"
2649,"
	 Tiriki tauki tauki I         / Arrankin trankin trankin I       
	",https://bdb.bertsozale.eus/common/file/get/31998,https://bdb.bertsozale.eus/common/file/get/21364,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'A1A2', '4/2/7']"
2650,"
	 Tiriki tauki tauki II         / Arrankin trankin trankin II          / Arrinkun trinkun trankun   
	",https://bdb.bertsozale.eus/common/file/get/32037,https://bdb.bertsozale.eus/common/file/get/21367,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', '10/3']"
2651,"
	 Tiriki tauki tauki III         / Baratzeko pikuak VI         / Eperrak kantatzen dau II    
	",https://bdb.bertsozale.eus/common/file/get/32074,https://bdb.bertsozale.eus/common/file/get/21370,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', '10/3']"
2652,"
	 Tiriki tauki tauki IV         
	",https://bdb.bertsozale.eus/common/file/get/32110,https://bdb.bertsozale.eus/common/file/get/21373,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'A1A2', '7/6']"
2653,"
	 Tiriki tauki tauki V         
	",https://bdb.bertsozale.eus/common/file/get/32105,https://bdb.bertsozale.eus/common/file/get/26056,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', '7/6']"
2654,,,,[]
2655,"
	 Tolosatikan barna         
	",https://bdb.bertsozale.eus/common/file/get/32746,https://bdb.bertsozale.eus/common/file/get/20662,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABA', '13']"
2656,"
	 Tolosatikan hiru         
	",https://bdb.bertsozale.eus/common/file/get/33217,https://bdb.bertsozale.eus/common/file/get/21877,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'AB1AB1B2', '13']"
2657,,,,[]
2658,"
	 Traidore Bonaparte         
	",https://bdb.bertsozale.eus/common/file/get/32147,https://bdb.bertsozale.eus/common/file/get/21376,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'A1A2', '7/6']"
2659,,,,[]
2660,"
	 Tram tram jauna omen doa         
	",https://bdb.bertsozale.eus/common/file/get/31759,https://bdb.bertsozale.eus/common/file/get/25246,"['Zortziko berezia, 4 puntuz (hg) / Lau puntuko berezia (ip)', 'A1A2BA3', '8/7/18/8/']"
2661,"
	 Trebola baratzekoa         
	",https://bdb.bertsozale.eus/common/file/get/31388,https://bdb.bertsozale.eus/common/file/get/24448,"['Zortzikoa, berdinaren moldekoa, 6 puntuz (hg) / Sei puntukoa, berdinaren moldekoa (ip)', 'ABDEFD', '8/8/18/8/']"
2662,"
	 Trikitixaren sorleku         
	",https://bdb.bertsozale.eus/common/file/get/31673,https://bdb.bertsozale.eus/common/file/get/24895,"['Zortziko berdina, 4 puntuz eta 8 silabaz (hg) / Lau puntuko berdina, 16 silabaz (ip)', '8/8/8/8..']"
2663,"
	 Tringulun trangulun eragidazu         
	",https://bdb.bertsozale.eus/common/file/get/33152,https://bdb.bertsozale.eus/common/file/get/26341,"['Lauko handia (hg) / Bi puntuko handia (ip)', 'AB', '10/8']"
2664,"
	 Trinidadea dago         
	",https://bdb.bertsozale.eus/common/file/get/33483,https://bdb.bertsozale.eus/common/file/get/25024,"['Zazpikoa, txikiaren moldekoa, 4 puntuz (hg) / Lau puntukoa, txikiaren moldekoa (ip)', 'ABDE', '13']"
2665,,,,[]
