title,mp3_url,midi_url,Mota,Errima,Silabak
"
	 Ematen dizkidazu         
	",https://bdb.bertsozale.eus/common/file/get/30888,https://bdb.bertsozale.eus/common/file/get/19414,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Emaztia zer moduz         
	",https://bdb.bertsozale.eus/common/file/get/32044,https://bdb.bertsozale.eus/common/file/get/25492,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Erderaren ondoren         
	",https://bdb.bertsozale.eus/common/file/get/31321,https://bdb.bertsozale.eus/common/file/get/19447,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Erregina maitea         
	",https://bdb.bertsozale.eus/common/file/get/31424,https://bdb.bertsozale.eus/common/file/get/19456,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Esaera zaharra da         
	",https://bdb.bertsozale.eus/common/file/get/32154,https://bdb.bertsozale.eus/common/file/get/25501,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Euskal lurrak O Jauna         
	",https://bdb.bertsozale.eus/common/file/get/32189,https://bdb.bertsozale.eus/common/file/get/25504,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Euskaldun bat zen itsu II         / Eskualdun bat zen itsu II          / Itsua eta sastrea II    
	",https://bdb.bertsozale.eus/common/file/get/32311,https://bdb.bertsozale.eus/common/file/get/19522,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Euskaldun jaio nintzan         
	",https://bdb.bertsozale.eus/common/file/get/32349,https://bdb.bertsozale.eus/common/file/get/19525,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Ez badigu ematen         
	",https://bdb.bertsozale.eus/common/file/get/32463,https://bdb.bertsozale.eus/common/file/get/19531,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Ez deia bada pena         
	",https://bdb.bertsozale.eus/common/file/get/32340,https://bdb.bertsozale.eus/common/file/get/25513,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Ez dute ongi entzuten         / Bertso berri horiek      
	",https://bdb.bertsozale.eus/common/file/get/32381,https://bdb.bertsozale.eus/common/file/get/25516,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Ezkunt geia niz eta         
	",https://bdb.bertsozale.eus/common/file/get/32870,https://bdb.bertsozale.eus/common/file/get/19561,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Festarik behar bada I         
	",https://bdb.bertsozale.eus/common/file/get/32910,https://bdb.bertsozale.eus/common/file/get/19564,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Fiestak egiteko         
	",https://bdb.bertsozale.eus/common/file/get/32947,https://bdb.bertsozale.eus/common/file/get/19567,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gabon eskerrik asko II         / Abenduko hilaren II       
	",https://bdb.bertsozale.eus/common/file/get/32457,https://bdb.bertsozale.eus/common/file/get/25522,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gabon gaua dala ta         
	",https://bdb.bertsozale.eus/common/file/get/30807,https://bdb.bertsozale.eus/common/file/get/27103,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gaur da nere kristaua         / Horra Tolosatikan      
	",https://bdb.bertsozale.eus/common/file/get/33267,https://bdb.bertsozale.eus/common/file/get/19591,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gaur hemeretzi mende         / Su ta garren artean      
	",https://bdb.bertsozale.eus/common/file/get/33335,https://bdb.bertsozale.eus/common/file/get/19594,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gaur Orentzago da eta I         
	",https://bdb.bertsozale.eus/common/file/get/32529,https://bdb.bertsozale.eus/common/file/get/25528,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gaur zabalik al dago         
	",https://bdb.bertsozale.eus/common/file/get/33373,https://bdb.bertsozale.eus/common/file/get/19597,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gaurko egoera hau         
	",https://bdb.bertsozale.eus/common/file/get/32602,https://bdb.bertsozale.eus/common/file/get/25534,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
